+8.97940e-05  +1.13596e-07  +1.13596e-07  +3.30056e-07  -1.12523e-06  +3.30056e-07  
+2.65564e-04  -8.34796e-06  +6.12611e-07  +4.76332e-06  -1.00618e-05  +1.32842e-06  
+3.80479e-04  -2.19927e-05  -2.16239e-07  +2.70802e-05  -5.36022e-05  +3.09879e-06  
+4.84293e-04  -2.99850e-05  -2.67799e-06  +1.01749e-04  -1.66844e-04  +5.44043e-06  
+6.31982e-04  -3.73521e-05  -5.66415e-06  +2.90596e-04  -3.70301e-04  +7.95147e-06  
+8.75740e-04  -7.79615e-05  -1.35697e-05  +6.75374e-04  -6.55331e-04  +1.03482e-05  
+1.28406e-03  -1.82649e-04  -4.86431e-05  +1.32938e-03  -9.68800e-04  +1.25894e-05  
+1.94436e-03  -2.56955e-04  -1.52927e-04  +2.27634e-03  -1.23954e-03  +1.54769e-05  
+2.91454e-03  +1.06624e-05  -3.34664e-04  +3.50861e-03  -1.48298e-03  +1.96448e-05  
+4.14614e-03  +8.57134e-04  -5.15939e-04  +5.04782e-03  -1.70846e-03  +2.29811e-05  
+5.50974e-03  +2.10571e-03  -6.45902e-04  +6.84358e-03  -1.76166e-03  +2.46810e-05  
+6.87923e-03  +3.58606e-03  -7.70769e-04  +8.69517e-03  -1.61031e-03  +2.82866e-05  
+8.12729e-03  +5.34657e-03  -8.48675e-04  +1.06302e-02  -1.56569e-03  +3.23439e-05  
+9.21565e-03  +6.67063e-03  -8.57219e-04  +1.27339e-02  -1.45520e-03  +3.67303e-05  
+1.02562e-02  +7.19919e-03  -8.78215e-04  +1.48136e-02  -1.19507e-03  +4.32705e-05  
+1.13325e-02  +7.25731e-03  -9.61834e-04  +1.66885e-02  -8.87437e-04  +5.12260e-05  
+1.23577e-02  +7.67145e-03  -1.10813e-03  +1.82141e-02  -6.42728e-04  +6.05815e-05  
+1.33579e-02  +8.37225e-03  -1.24085e-03  +1.95777e-02  -5.50786e-04  +6.92356e-05  
+1.40780e-02  +7.81139e-03  -1.17861e-03  +2.10469e-02  -6.73581e-04  +7.89981e-05  
+1.50293e-02  +5.13756e-03  -1.30364e-03  +2.29498e-02  -8.76397e-04  +8.89161e-05  
+1.62005e-02  +2.46571e-03  -1.67071e-03  +2.45104e-02  -2.84575e-04  +9.73202e-05  
+1.69643e-02  +2.54915e-03  -1.66426e-03  +2.56743e-02  -5.38448e-04  +1.01956e-04  
+1.73492e-02  +2.06938e-03  -1.71877e-03  +2.79170e-02  -5.99422e-04  +1.18721e-04  
+1.78280e-02  +6.70884e-04  -1.67206e-03  +2.89272e-02  -3.39344e-04  +1.20545e-04  
+1.85376e-02  -4.27316e-04  -1.71612e-03  +2.98400e-02  -6.65763e-04  +1.25619e-04  
+1.96656e-02  -2.36152e-03  -1.76826e-03  +3.11559e-02  -8.94092e-04  +1.29037e-04  
+2.08065e-02  -3.72802e-03  -2.01089e-03  +3.21553e-02  -3.59388e-04  +1.33107e-04  
+2.14898e-02  -2.36263e-03  -2.30881e-03  +3.24885e-02  -1.88020e-04  +1.42907e-04  
+2.14505e-02  -2.12107e-05  -2.21813e-03  +3.30333e-02  -4.77919e-04  +1.41400e-04  
+2.13549e-02  +5.33228e-04  -2.06588e-03  +3.37026e-02  -3.73073e-04  +1.36820e-04  
+2.13090e-02  +6.23690e-04  -2.07864e-03  +3.40797e-02  -2.03339e-04  +1.35223e-04  
+2.10946e-02  +8.72654e-04  -2.06494e-03  +3.42456e-02  -1.54674e-04  +1.36773e-04  
+2.07706e-02  +8.47118e-04  -2.05228e-03  +3.44939e-02  -3.47561e-04  +1.39321e-04  
+2.04384e-02  +5.80405e-04  -2.05401e-03  +3.49863e-02  -5.06393e-04  +1.39401e-04  
+2.00673e-02  -1.59002e-05  -2.00646e-03  +3.55814e-02  -5.01589e-04  +1.36689e-04  
+1.97713e-02  -9.70044e-04  -1.98904e-03  +3.60605e-02  -3.25651e-04  +1.35633e-04  
+1.95890e-02  -1.87638e-03  -2.01697e-03  +3.63878e-02  -2.38538e-04  +1.35647e-04  
+1.95393e-02  -2.49947e-03  -2.05406e-03  +3.66156e-02  -1.54522e-04  +1.34115e-04  
+1.95618e-02  -2.81715e-03  -2.07274e-03  +3.67175e-02  -1.61670e-05  +1.32492e-04  
+1.96080e-02  -2.90656e-03  -2.07947e-03  +3.66772e-02  +1.40829e-04  +1.31849e-04  
+1.96384e-02  -2.82314e-03  -2.08619e-03  +3.65303e-02  +2.42046e-04  +1.32513e-04  
+1.96526e-02  -2.58849e-03  -2.09870e-03  +3.63475e-02  +2.38067e-04  +1.33703e-04  
